ID_SOLICITANTE,ID_EMPRESTIMO,ID_HISTORICO,ID_SOLICITANTE,IDADE_SOLICITANTE,SALARIO_ANUAL,SITUACAO_PROPRIEDADE,ANOS_TRABALHADOS,ID_EMPRESTIMO,MOTIVO,PONTUACAO,VALOR_TOTAL_EMPRESTIMO,TAXA_JUROS,POSSIBILIDADE_INADIMPLENCIA,RENDA_PERCENTUAL,ID_HISTORICO,HISTORICO_INADIMPLENTE,ANOS_CARTAO_CREDITO
QX2srHDP-ASDp,Ic2I0iqP-0JOX,vfpCil4Z-arhp,QX2srHDP-ASDp,30,50000,Alugada,3,Ic2I0iqP-0JOX,Pessoal,C,10000,13.22,0,0.2,vfpCil4Z-arhp,0,7
5KG3xLor-8A06,Gn7bAi7l-P58g,Y9t31nJj-sGOq,5KG3xLor-8A06,24,8400,Alugada,NULL,Gn7bAi7l-P58g,Educativo,C,1500,13.99,1,0.18,Y9t31nJj-sGOq,0,4
C8XTBmsW-09RH,nQvAjmPZ-T13r,wcJoMp4F-e77L,C8XTBmsW-09RH,25,110000,Hipotecada,5,nQvAjmPZ-T13r,Empreendimento,C,1200,13.49,0,0.01,wcJoMp4F-e77L,0,4
bBQ5Z3rA-gKO8,GAHXYPMA-LS0k,NkOhYI4T-FjWf,bBQ5Z3rA-gKO8,49,70872,Hipotecada,4,GAHXYPMA-LS0k,"Pagamento de débitos",D,15000,14.84,1,0.21,NkOhYI4T-FjWf,0,11
zMqqJNJb-32Dk,pLeboaWw-b4Xf,gx1Lqjxf-f2U6,zMqqJNJb-32Dk,21,NULL,Alugada,1,pLeboaWw-b4Xf,,A,25000,16.07,0,0.19,gx1Lqjxf-f2U6,1,3
K2T3onFW-KuPO,t1G5RMhE-yG5N,IwFERD7d-kb6Z,K2T3onFW-KuPO,41,24000,Alugada,24,t1G5RMhE-yG5N,Pessoal,A,2000,7.75,1,0.08,IwFERD7d-kb6Z,0,17
JKhnQjdA-noFx,Q7LaxqMv-0JOu,hAUqxrmh-yE3L,JKhnQjdA-noFx,49,23004,Alugada,6,Q7LaxqMv-0JOu,Pessoal,D,3250,15.21,0,0.14,hAUqxrmh-yE3L,0,12
jdCd3fkW-gLhB,puNBeL3u-9eKF,Y2HS8yac-ZARL,jdCd3fkW-gLhB,27,38250,Alugada,1,puNBeL3u-9eKF,Médico,A,5000,7.51,0,0.13,Y2HS8yac-ZARL,0,5
hYqWz1JD-8DF0,1Te9uLsm-kF7i,KgM36ft7-ZJIP,hYqWz1JD-8DF0,25,46000,Hipotecada,4,1Te9uLsm-kF7i,Educativo,C,2125,12.99,0,0.05,KgM36ft7-ZJIP,1,2
uto7EjYb-NcHY,JOqoL9MH-eRsi,qXpnKwXw-TmEN,uto7EjYb-NcHY,30,41604,Hipotecada,7,JOqoL9MH-eRsi,Empreendimento,B,15000,10,0,0.36,qXpnKwXw-TmEN,0,9
NE7K2KQa-E9vE,lf738LuF-Jtne,Kl0Mgg6s-LZSW,NE7K2KQa-E9vE,24,36500,Hipotecada,3,lf738LuF-Jtne,Educativo,B,2500,10.37,0,0.07,Kl0Mgg6s-LZSW,0,3
1cOPf1qD-wFaf,Q9gpRLzs-elg5,w3Wj01jg-smjd,1cOPf1qD-wFaf,36,45344,Hipotecada,11,Q9gpRLzs-elg5,Educativo,A,16750,7.88,0,0.37,w3Wj01jg-smjd,0,13
Hmm6kZdm-LoGv,aHRN4f7w-kD8s,QPGB8uND-0Ci6,Hmm6kZdm-LoGv,33,85000,Alugada,0,aHRN4f7w-kD8s,Pessoal,B,10000,NULL,0,0.12,QPGB8uND-0Ci6,0,5
lwqlaSe9-hAYR,mW9tPtGN-hla1,ZgnE56yN-0X4S,lwqlaSe9-hAYR,56,90000,Hipotecada,0,mW9tPtGN-hla1,Pessoal,A,7200,6.17,0,0.08,ZgnE56yN-0X4S,0,19
NAAt97Ma-F5FJ,RHz1K4t0-fGl3,RroZY7Xk-RM0W,NAAt97Ma-F5FJ,30,NULL,,2,RHz1K4t0-fGl3,Empreendimento,C,1000,14.27,0,0.01,RroZY7Xk-RM0W,1,2
nMDA4Baq-1LNm,mB97UIG5-CYmY,3sRhK0dI-jm0y,nMDA4Baq-1LNm,33,58800,Alugada,10,mB97UIG5-CYmY,Médico,B,3000,11.49,0,0.05,3sRhK0dI-jm0y,0,9
vQeKi6jj-S7Mp,UTlIhe5Z-C3Rx,lxX6OwH3-4caY,vQeKi6jj-S7Mp,28,90000,Hipotecada,12,UTlIhe5Z-C3Rx,"Melhora do lar",C,5000,14.79,0,0.06,lxX6OwH3-4caY,1,8
qHiu42Bq-qdoc,fqiyuEYQ-5Qwz,XO8G8XF0-itEI,qHiu42Bq-qdoc,22,19200,Hipotecada,6,fqiyuEYQ-5Qwz,"Melhora do lar",D,1400,14.91,1,0.07,XO8G8XF0-itEI,1,4
mr5kzNEs-CSqa,ecWSI5oO-s3lg,MyjDOZgv-m2Wl,mr5kzNEs-CSqa,23,45000,Alugada,2,ecWSI5oO-s3lg,Empreendimento,B,14500,10.36,1,0.32,MyjDOZgv-m2Wl,0,4
IE7xRxnw-2FhC,gIRr6PwL-28Sy,3LZ2uRzY-Ufu7,IE7xRxnw-2FhC,25,23000,Alugada,NULL,gIRr6PwL-28Sy,"Melhora do lar",D,8000,14.46,1,0.35,3LZ2uRzY-Ufu7,1,2
OYzDCgwu-XpFP,Rao6sbJB-Clci,ChK3ARMs-TPPW,OYzDCgwu-XpFP,28,29496,Alugada,8,Rao6sbJB-Clci,Educativo,D,4500,14.11,0,0.15,ChK3ARMs-TPPW,1,7
7UQ6hsHs-zsdL,5Psp57Sa-u1NJ,uaebCZid-s7rm,7UQ6hsHs-zsdL,28,40000,Hipotecada,12,5Psp57Sa-u1NJ,"Melhora do lar",A,15000,5.99,0,0.38,uaebCZid-s7rm,0,9
jhEqMkih-frgu,CP6oLE3P-Hc8Y,sHBetnIk-dc5d,jhEqMkih-frgu,31,75000,Alugada,4,CP6oLE3P-Hc8Y,"Melhora do lar",A,18000,8.9,0,0.24,sHBetnIk-dc5d,0,6
1PeK2HzO-5yF8,MHdhP3Qb-vKO3,DpOp6sLU-4Mw4,1PeK2HzO-5yF8,36,40000,Própria,2,MHdhP3Qb-vKO3,Pessoal,A,5000,7.88,0,0.13,DpOp6sLU-4Mw4,0,12
SgjsTf1I-1Xg8,icnPNWbr-zBW3,UTzTsGDd-aubE,SgjsTf1I-1Xg8,21,32400,Alugada,2,icnPNWbr-zBW3,Empreendimento,C,10000,13.23,1,0.31,UTzTsGDd-aubE,1,3
2TfQHQcU-cICJ,DWNlix8Z-HWTj,STsJSJqY-k0Ti,2TfQHQcU-cICJ,35,106369,Hipotecada,2,DWNlix8Z-HWTj,Empreendimento,A,8325,6.99,0,0.08,STsJSJqY-k0Ti,0,10
z7O5S4LO-0Y5x,9DhHSBkb-oqps,smrhla6g-C6RO,z7O5S4LO-0Y5x,24,65450,Hipotecada,8,9DhHSBkb-oqps,Médico,D,5000,16.77,1,0.06,smrhla6g-C6RO,0,4
TjxqCrDv-JhDu,E6gzvzyr-U3RO,KW38u99x-DJwj,TjxqCrDv-JhDu,24,38400,Hipotecada,8,E6gzvzyr-U3RO,"Melhora do lar",B,10000,10.99,0,0.26,KW38u99x-DJwj,0,2
oQyumKF2-388m,XQp4zIJY-N3Qp,DSjqjdi8-F6ph,oQyumKF2-388m,26,39000,Alugada,2,XQp4zIJY-N3Qp,Educativo,A,8000,6.62,0,0.21,DSjqjdi8-F6ph,0,2
64lcjBx3-KMWo,hp9H5p2i-5g3z,pglZ3ERt-1PA0,64lcjBx3-KMWo,37,20004,Alugada,0,hp9H5p2i-5g3z,"Pagamento de débitos",B,5000,NULL,0,0.25,pglZ3ERt-1PA0,0,12
kzHFZjjM-UPe5,QtK9Y3KH-mJEM,hDzijmbP-jWYF,kzHFZjjM-UPe5,34,30000,Própria,0,QtK9Y3KH-mJEM,Médico,A,6000,7.29,0,0.2,hDzijmbP-jWYF,0,9
ICprTb6t-yPXf,5JiaDi9D-tg1l,1lafB6Nt-Yb9L,ICprTb6t-yPXf,25,42000,Alugada,3,5JiaDi9D-tg1l,Empreendimento,A,18000,6.17,1,0.43,1lafB6Nt-Yb9L,0,2
mt9FbU9Y-vdfk,a78If8dc-JsxC,8J9IGXTn-EguF,mt9FbU9Y-vdfk,31,45000,Hipotecada,12,a78If8dc-JsxC,Pessoal,A,6000,9.32,0,0.13,8J9IGXTn-EguF,0,9
g207752f-KPeq,OqBz0aLl-YKaZ,FSquHZqw-zJzf,g207752f-KPeq,24,48000,Hipotecada,3,OqBz0aLl-YKaZ,"Pagamento de débitos",B,4800,9.99,0,0.1,FSquHZqw-zJzf,0,2
owohqlA3-IcuN,LdoMcLpI-vPY6,RaZHvBbg-BRwD,owohqlA3-IcuN,27,75000,Hipotecada,4,LdoMcLpI-vPY6,Pessoal,B,20150,11.36,0,0.27,RaZHvBbg-BRwD,0,6
OUEtPkTc-vXcy,NAKFoNIk-NYBx,EUBokKrE-dXz0,OUEtPkTc-vXcy,23,30000,Alugada,3,NAKFoNIk-NYBx,Pessoal,A,3600,5.99,0,0.12,EUBokKrE-dXz0,0,2
yeHlTkj5-QbMc,rb9HgWJ7-FNcq,xnU4LhwR-zFwU,yeHlTkj5-QbMc,39,57000,Hipotecada,0,rb9HgWJ7-FNcq,"Pagamento de débitos",A,3000,9.63,0,0.05,xnU4LhwR-zFwU,0,14
PHiC0Lwb-AWeB,j5S6rOOa-H15G,jXHQAlgc-MWXP,PHiC0Lwb-AWeB,28,110244,Hipotecada,3,j5S6rOOa-H15G,"Melhora do lar",D,18000,12.17,0,0.16,jXHQAlgc-MWXP,0,10
qi5D6Pk9-G5tu,aampZHW2-ocZj,fJT9TZp1-cd3e,qi5D6Pk9-G5tu,25,72000,Alugada,NULL,aampZHW2-ocZj,"Pagamento de débitos",A,17000,7.88,0,0.24,fJT9TZp1-cd3e,0,3
ZqzB3qcT-xtkv,g9JqSl8E-O5W3,RD8jA8mR-rCb0,ZqzB3qcT-xtkv,NULL,57000,Própria,5,g9JqSl8E-O5W3,,B,7900,NULL,0,0.22,RD8jA8mR-rCb0,0,7
TZKDYh3Y-uHOY,cbDeQpd0-Ccej,9hbW9uAB-OSrR,TZKDYh3Y-uHOY,26,143375,Hipotecada,10,cbDeQpd0-Ccej,Médico,A,12000,7.66,0,0.08,9hbW9uAB-OSrR,0,3
FwamM7qG-pPmE,zP78RLso-2XrN,3LOr0WLu-TtkI,FwamM7qG-pPmE,27,28800,Própria,0,zP78RLso-2XrN,"Melhora do lar",A,13000,6.92,0,0.45,3LOr0WLu-TtkI,0,10
ScEk9Y9l-QBY6,cHil8Pm5-tP4u,WtkEXsUG-j9tt,ScEk9Y9l-QBY6,23,62400,Hipotecada,7,cHil8Pm5-tP4u,Médico,C,7000,13.06,0,0.11,WtkEXsUG-j9tt,0,4
YmB2Rnsc-oQ5h,gG4lcPsb-RM3D,xya09eZJ-67vU,YmB2Rnsc-oQ5h,31,48000,Alugada,11,gG4lcPsb-RM3D,Médico,B,2000,10.65,0,0.04,xya09eZJ-67vU,0,6
AqkexoaE-TUYU,oZK2PNFA-3HrJ,J3DyvL0F-ioUC,AqkexoaE-TUYU,28,75000,Alugada,1,oZK2PNFA-3HrJ,"Melhora do lar",A,12000,9.63,0,0.16,J3DyvL0F-ioUC,0,7
txSoR8py-0GKW,x5HPoqIJ-rN4y,n5dLcnwm-3FHd,txSoR8py-0GKW,25,67500,Alugada,2,x5HPoqIJ-rN4y,Educativo,A,7200,7.88,0,0.11,n5dLcnwm-3FHd,0,4
w8mGbw2o-C9hi,wleuQugd-7QM4,7wT1zmB4-a800,w8mGbw2o-C9hi,26,90000,Alugada,8,wleuQugd-7QM4,Pessoal,D,15000,NULL,0,0.17,7wT1zmB4-a800,1,3
lkPCb4C5-uDdP,od8H684N-22T8,gzugnfEW-tOXE,lkPCb4C5-uDdP,43,54000,Alugada,0,od8H684N-22T8,"Melhora do lar",D,9000,15.65,1,0.17,gzugnfEW-tOXE,1,16
lU1KJhdE-6j3d,5ye4eYT8-rOCk,wbWk4wpx-HSjT,lU1KJhdE-6j3d,23,72324,Alugada,7,5ye4eYT8-rOCk,Empreendimento,B,12000,10.99,0,0.17,wbWk4wpx-HSjT,0,3
qDBl3hP4-f1ur,0xOlqW5J-QCOA,zFEHh7n5-Gjvg,qDBl3hP4-f1ur,26,38400,Alugada,8,0xOlqW5J-QCOA,Empreendimento,D,9100,15.37,0,0.24,zFEHh7n5-Gjvg,1,2
RrrJ9QKY-KELW,3JARyEvA-hmFa,OBhcjg6X-6AYp,RrrJ9QKY-KELW,30,62304,Alugada,3,3JARyEvA-hmFa,Educativo,D,11000,NULL,0,0.18,OBhcjg6X-6AYp,0,9
1KTs8tfm-FKNn,YimyHI1H-XWkK,WPwfN2Hg-ALED,1KTs8tfm-FKNn,26,48000,Hipotecada,11,YimyHI1H-XWkK,Médico,A,5000,7.14,1,0.1,WPwfN2Hg-ALED,0,2
fLwL31X9-b09l,bSgfXl4P-yxB5,ruE6hY66-Ufb6,fLwL31X9-b09l,21,44000,Alugada,0,bSgfXl4P-yxB5,Pessoal,D,5500,15.28,1,0.13,ruE6hY66-Ufb6,0,3
lDA8rpHS-BnvK,NFxlA8Yf-pGM9,CjLuU6Eb-t6oK,lDA8rpHS-BnvK,26,22800,Alugada,4,NFxlA8Yf-pGM9,Pessoal,C,5000,13.57,0,0.22,CjLuU6Eb-t6oK,1,2
gR7jNhTp-3lDH,PH1Dce6u-aHfn,0LveoXWk-tDjQ,gR7jNhTp-3lDH,23,60000,Hipotecada,NULL,PH1Dce6u-aHfn,Educativo,B,5600,10.99,0,0.09,0LveoXWk-tDjQ,0,2
mcOyb7Xa-mQbo,Qds27pJg-CDGI,5SPg4r1B-0JsK,mcOyb7Xa-mQbo,24,125000,Alugada,6,Qds27pJg-CDGI,Pessoal,A,4800,6.76,0,0.04,5SPg4r1B-0JsK,0,3
42gut6HO-XFqq,WR2C1Yqw-xM7S,9aNSULhJ-fXjc,42gut6HO-XFqq,29,32108,Alugada,4,WR2C1Yqw-xM7S,,,15000,7.88,1,0.37,9aNSULhJ-fXjc,0,5
imxnq1vQ-90m4,fWjwxX3p-IYUl,UBRKQ3T8-XEbO,imxnq1vQ-90m4,38,83000,Alugada,3,fWjwxX3p-IYUl,"Melhora do lar",G,22250,23.22,1,0.27,UBRKQ3T8-XEbO,1,12
Fxi7akTL-IFIh,CrKMH5XW-s5aU,MyHrnIIz-Qlwv,Fxi7akTL-IFIh,24,26000,Alugada,2,CrKMH5XW-s5aU,"Melhora do lar",D,6200,14.11,1,0.24,MyHrnIIz-Qlwv,0,4
yiTEC9YK-2eXh,CStSMhui-8RX9,07d7IOHY-YrZY,yiTEC9YK-2eXh,26,54000,Alugada,3,CStSMhui-8RX9,"Melhora do lar",E,13000,17.93,0,0.24,07d7IOHY-YrZY,1,2
OcYUPdMG-zmrD,nKJB2uXq-asi3,F8i1iviQ-bFyG,OcYUPdMG-zmrD,28,33600,Hipotecada,12,nKJB2uXq-asi3,Médico,A,3000,5.42,0,0.09,F8i1iviQ-bFyG,0,5
ha2E8WRH-9Bsl,DLv3X7mj-leho,2HH1FSuO-REgR,ha2E8WRH-9Bsl,27,144000,Hipotecada,4,DLv3X7mj-leho,"Pagamento de débitos",C,21000,13.57,0,0.15,2HH1FSuO-REgR,1,8
Dgc1W7Zr-FiEg,rqjB7W2p-SR3N,sTeWZBnu-QfFZ,Dgc1W7Zr-FiEg,44,80160,Hipotecada,13,rqjB7W2p-SR3N,"Pagamento de débitos",C,5500,13.92,0,0.07,sTeWZBnu-QfFZ,1,13
7a6d1Mw2-B4CC,GRSGBI76-CDAK,aGmN2Tt5-r5HL,7a6d1Mw2-B4CC,24,120000,Alugada,4,GRSGBI76-CDAK,"Melhora do lar",C,10000,13.61,0,0.08,aGmN2Tt5-r5HL,0,2
0rraeeHG-d4nD,da3r35cC-zj88,MMLEqhJe-YC4r,0rraeeHG-d4nD,28,65000,Hipotecada,5,da3r35cC-zj88,Médico,C,4500,15.96,0,0.07,MMLEqhJe-YC4r,1,9
cuHDFX9d-gm4e,yGhAjxMM-dwKZ,PmFEOtgp-ircd,cuHDFX9d-gm4e,36,35000,Própria,1,yGhAjxMM-dwKZ,Empreendimento,B,6000,11.49,0,0.17,PmFEOtgp-ircd,0,13
PptOP3tx-8rOz,90Jwp3uF-wi4R,3OMDW36T-7SxS,PptOP3tx-8rOz,23,40000,Alugada,7,90Jwp3uF-wi4R,Empreendimento,B,10000,10.36,0,0.25,3OMDW36T-7SxS,0,3
9phgp4wB-Y9ZA,Cd90H4Ci-8n9j,ysi0Hszx-tcUd,9phgp4wB-Y9ZA,32,40000,Alugada,2,Cd90H4Ci-8n9j,Educativo,A,7500,8,0,0.19,ysi0Hszx-tcUd,0,6
bsjYmP00-XXsO,EXQXXO9g-llgX,Yj0s3Sns-mdCe,bsjYmP00-XXsO,23,65000,Hipotecada,7,EXQXXO9g-llgX,Educativo,A,10500,6.03,0,0.16,Yj0s3Sns-mdCe,0,4
msucpsXN-tljf,emmXTK8G-Wab5,xB6J7ppL-jRx3,msucpsXN-tljf,22,40000,Alugada,6,emmXTK8G-Wab5,Educativo,C,14000,13.11,1,0.35,xB6J7ppL-jRx3,1,3
M4qj1Ei8-ksPr,pqqadT5Y-wDfU,iX5xYUJ6-1hkR,M4qj1Ei8-ksPr,24,84996,Alugada,1,pqqadT5Y-wDfU,Médico,A,6000,6.03,0,0.07,iX5xYUJ6-1hkR,0,3
Xqu9oDNW-RLBx,0hp1CtqO-eBTT,dDxAXA0Z-vqXP,Xqu9oDNW-RLBx,22,94200,Hipotecada,6,0hp1CtqO-eBTT,Pessoal,B,20000,8.88,0,0.21,dDxAXA0Z-vqXP,0,2
Hu1v5l4C-Rt0o,XjCkR8Ab-Xn06,6Ql4YuhO-1xLY,Hu1v5l4C-Rt0o,21,36000,Alugada,NULL,XjCkR8Ab-Xn06,Pessoal,B,18000,9.88,1,0.5,6Ql4YuhO-1xLY,0,3
k27N5FMA-q8ak,mZNqqzyr-R2WO,QdQ7Zz8y-9Ml3,k27N5FMA-q8ak,26,130000,Alugada,10,mZNqqzyr-R2WO,"Pagamento de débitos",C,20000,13.11,0,0.15,QdQ7Zz8y-9Ml3,1,4
bzN7Nmj5-GyOL,ygIr9h3p-GH7z,vEm0QC0t-sg2q,bzN7Nmj5-GyOL,23,59000,Alugada,3,ygIr9h3p-GH7z,Educativo,D,10000,15.58,1,0.17,vEm0QC0t-sg2q,0,3
CGr8LFPX-mxsF,QnYsidO9-QwXr,ifl4LsqP-5tir,CGr8LFPX-mxsF,29,48000,Alugada,1,QnYsidO9-QwXr,Médico,A,8800,8.49,0,0.18,ifl4LsqP-5tir,0,9
m5pFFwqC-1WQR,DZHlC7M0-m5Qo,h3graqDS-6Gyi,m5pFFwqC-1WQR,55,50000,Alugada,2,DZHlC7M0-m5Qo,"Pagamento de débitos",A,20000,7.51,1,0.4,h3graqDS-6Gyi,0,28
6OXU5BcC-OArF,2Lb6zAiB-iwqj,QsR7ZdBZ-jb35,6OXU5BcC-OArF,27,62900,Alugada,9,2Lb6zAiB-iwqj,Médico,D,7450,15.99,1,0.1,QsR7ZdBZ-jb35,0,10
9E7QIz92-uxah,hZZipyFJ-TQuv,WWccHhq0-gnBy,9E7QIz92-uxah,31,117000,Hipotecada,5,hZZipyFJ-TQuv,"Melhora do lar",A,3600,6.91,0,0.03,WWccHhq0-gnBy,0,5
qYZjnZTj-S2pA,858XFQtN-UiXQ,svg8odFf-HK2Q,qYZjnZTj-S2pA,30,40000,Alugada,4,858XFQtN-UiXQ,Empreendimento,C,4500,14.26,0,0.11,svg8odFf-HK2Q,1,6
PwcmcBmt-Jcc0,dxjxBnHs-C5Mh,tbg8X1l2-G8X7,PwcmcBmt-Jcc0,29,59000,Hipotecada,7,dxjxBnHs-C5Mh,"Pagamento de débitos",B,15000,9.76,1,0.25,tbg8X1l2-G8X7,0,8
U7oPKUpP-Pds2,sjU8QUli-xQw2,uf0ShAD4-nYdG,U7oPKUpP-Pds2,37,55236,Hipotecada,9,sjU8QUli-xQw2,Empreendimento,A,6500,6.03,0,0.12,uf0ShAD4-nYdG,0,16
6ISQjhEW-1lHT,Iigvlx5q-BzTH,Ot7L2Jap-Z517,6ISQjhEW-1lHT,NULL,47000,Própria,8,Iigvlx5q-BzTH,Empreendimento,A,6000,7.9,0,NULL,Ot7L2Jap-Z517,0,10
ctBumKmf-2HFX,HA4nGUol-mwsh,ghX2NQuF-j1vc,ctBumKmf-2HFX,28,42000,Alugada,9,HA4nGUol-mwsh,Educativo,A,2500,8.49,0,0.06,ghX2NQuF-j1vc,0,8
2YlOM1b3-YIkJ,FD8tLF5K-PBsh,JhJKpSZm-vE2v,2YlOM1b3-YIkJ,22,96000,Alugada,4,FD8tLF5K-PBsh,Educativo,B,3150,6,0,0.03,JhJKpSZm-vE2v,0,2
TtDtCvtQ-1wRY,wTJlmadI-NMAW,BseyS10q-4ilR,TtDtCvtQ-1wRY,40,33000,Hipotecada,2,wTJlmadI-NMAW,"Melhora do lar",B,1000,NULL,0,0.03,BseyS10q-4ilR,0,15
L1mlm1mM-tsUc,gjifZty5-p24f,0WGw0fCz-E8hY,L1mlm1mM-tsUc,22,39000,Própria,6,gjifZty5-p24f,Médico,A,1000,NULL,0,0.03,0WGw0fCz-E8hY,0,2
MzfAz4PT-4spj,tKohBZsd-hPvJ,vLyFyX0b-YBGA,MzfAz4PT-4spj,25,58000,Hipotecada,2,tKohBZsd-hPvJ,Pessoal,D,2750,12.86,0,0.05,vLyFyX0b-YBGA,1,4
38EUJjPY-6fW4,3a9BXCUf-ta6I,uWI1WxOp-pxKg,38EUJjPY-6fW4,28,74000,Própria,12,3a9BXCUf-ta6I,Empreendimento,D,5450,12.67,0,0.07,uWI1WxOp-pxKg,1,6
FBLvtXHn-5zFI,5Yb77yvT-lgy0,2ZBjZwiA-hk1Y,FBLvtXHn-5zFI,26,145992,Hipotecada,0,5Yb77yvT-lgy0,Pessoal,D,20000,NULL,0,0.14,2ZBjZwiA-hk1Y,1,2
To4OvamI-RIHN,EaOhmXNF-rqIx,XONcN9vu-xaS4,To4OvamI-RIHN,23,60000,Alugada,3,EaOhmXNF-rqIx,Educativo,E,10000,NULL,0,0.17,XONcN9vu-xaS4,0,2
eyD8j8Jm-AyT7,xdCoQ94X-rUhG,WtrvELv6-IYRB,eyD8j8Jm-AyT7,36,31000,Alugada,2,xdCoQ94X-rUhG,Empreendimento,A,2500,8.9,0,0.08,WtrvELv6-IYRB,0,15
bzDaSbNJ-M4d9,YMY5kJQQ-IaeA,AL7Q8Car-IZMh,bzDaSbNJ-M4d9,38,96000,Hipotecada,0,YMY5kJQQ-IaeA,Pessoal,C,1500,14.26,0,0.02,AL7Q8Car-IZMh,0,14
m0WmiYfs-81Xn,MXzLe5pq-XbkX,1IwH0IyK-v4sh,m0WmiYfs-81Xn,26,52000,Hipotecada,6,MXzLe5pq-XbkX,Pessoal,B,3300,10.99,0,0.06,1IwH0IyK-v4sh,0,2
xLNpUoQD-ceDf,PHNEjRXh-yxgE,TtHJGkId-mFko,xLNpUoQD-ceDf,24,32004,Hipotecada,5,PHNEjRXh-yxgE,Empreendimento,C,14000,12.73,0,0.44,TtHJGkId-mFko,0,4
